[2024-06-22 10:22:47,476: INFO: main: Welcome to LLM Logger]
[2024-06-22 10:38:43,510: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 10:38:43,510: INFO: main: Welcome to LLM Logger]
[2024-06-22 10:54:57,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 10:54:57,537: INFO: main: Welcome to LLM Logger]
[2024-06-22 11:03:43,465: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 11:03:43,467: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-22 11:03:43,469: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-22 11:03:43,471: INFO: common: created directory at: artifacts]
[2024-06-22 11:03:43,471: INFO: common: created directory at: artifacts/data_validation]
[2024-06-22 11:04:34,691: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 11:04:34,693: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-22 11:04:34,695: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-22 11:04:34,700: INFO: common: created directory at: artifacts]
[2024-06-22 11:04:34,703: INFO: common: created directory at: artifacts/data_validation]
[2024-06-22 11:27:08,216: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 11:27:08,226: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-22 11:27:08,229: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-22 11:27:08,236: INFO: common: created directory at: artifacts]
[2024-06-22 11:27:08,240: INFO: common: created directory at: artifacts/data_transformation]
[2024-06-22 11:27:16,079: INFO: utils: NumExpr defaulting to 8 threads.]
[2024-06-22 11:27:20,526: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-22 11:27:20,528: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-22 11:27:20,529: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-06-22 11:27:20,531: INFO: common: created directory at: artifacts]
[2024-06-22 11:27:20,532: INFO: common: created directory at: artifacts/data_transformation]
[2024-06-22 11:27:21,670: INFO: 3711323853: Vectorizer is loaded]
[2024-06-22 11:27:30,577: INFO: 3711323853: Vectorizer Transformed Data]
[2024-06-22 11:27:34,962: INFO: 3711323853: Vectorization is completed]
[2024-06-22 11:27:45,588: INFO: 3711323853: Spliting of Data is Completed]
[2024-06-22 11:27:45,790: INFO: 3711323853: Label Encoder is Done]
